rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1307,0,"Fast Times at Ridgemont High",1982,http://www.icheckmovies.com/movies/fast+times+at+ridgemont+high/,16375,628,120,8,433,,http://www.imdb.com/title/tt0083929/,"2017-03-25 21:53:38",no,no,no,no
1308,0,"Merrily We Go to Hell",1932,http://www.icheckmovies.com/movies/merrily+we+go+to+hell/,411,18,2,2,92,,http://www.imdb.com/title/tt0023213/,no,no,no,no,no
1309,0,"Hai shang hua",1998,http://www.icheckmovies.com/movies/hai+shang+hua/,845,61,6,8,294,"Flowers of Shanghai",http://www.imdb.com/title/tt0156587/,no,no,no,no,no
1310,0,"Nightmare Alley",1947,http://www.icheckmovies.com/movies/nightmare+alley/,1872,173,9,8,296,,http://www.imdb.com/title/tt0039661/,no,no,no,no,no
1311,0,Streetwise,1984,http://www.icheckmovies.com/movies/streetwise/,438,61,4,4,177,,http://www.imdb.com/title/tt0088196/,no,no,no,yes,no
1312,0,"Tiny: The Life of Erin Blackwell",2016,http://www.icheckmovies.com/movies/tiny+the+life+of+erin+blackwell/,89,7,0,1,26,,http://www.imdb.com/title/tt3505094/,no,no,no,no,no
1313,0,"Ethnic Notions",1986,http://www.icheckmovies.com/movies/ethnic+notions/,161,14,0,1,42,,http://www.imdb.com/title/tt0091018/,no,no,no,no,no
1314,0,"Tongues Untied",1989,http://www.icheckmovies.com/movies/tongues+untied/,855,42,26,11,208,,http://www.imdb.com/title/tt0103099/,no,no,no,no,no
1315,0,Affirmations,1990,http://www.icheckmovies.com/movies/affirmations/,182,5,5,1,16,,http://www.imdb.com/title/tt0136697/,no,no,no,no,no
1316,0,Anthem,1991,http://www.icheckmovies.com/movies/anthem-1991/,211,4,7,1,15,,http://www.imdb.com/title/tt0136710/,no,no,no,no,no
1317,0,"Color Adjustment",1992,http://www.icheckmovies.com/movies/color+adjustment/,121,6,1,1,25,,http://www.imdb.com/title/tt0103984/,no,no,no,no,no
1318,0,"Non, je ne regrette rien",1993,http://www.icheckmovies.com/movies/non+je+ne+regrette+rien/,128,6,1,1,24,"No Regret",http://www.imdb.com/title/tt0137129/,no,no,no,no,no
1319,0,"Black Is... Black Ain't",1994,http://www.icheckmovies.com/movies/black+is...+black+aint/,133,9,1,2,66,,http://www.imdb.com/title/tt0109285/,no,no,no,no,no
1320,0,Pariah,2011,http://www.icheckmovies.com/movies/pariah-2011-1/,1025,84,6,7,239,,http://www.imdb.com/title/tt1233334/,no,no,no,no,no
1321,0,Zerkalo,1975,http://www.icheckmovies.com/movies/zerkalo/,6089,886,93,15,770,Mirror,http://www.imdb.com/title/tt0072443/,"2017-02-04 02:29:39",yes,no,no,no
1322,0,"Bringing Up Baby",1938,http://www.icheckmovies.com/movies/bringing+up+baby/,12012,1226,146,23,914,,http://www.imdb.com/title/tt0029947/,"2013-01-26 21:53:22",no,no,no,no
1323,0,"Deep Cover",1992,http://www.icheckmovies.com/movies/deep+cover/,1065,51,12,3,130,,http://www.imdb.com/title/tt0104073/,no,no,no,no,no
1324,0,"Working Girls",1986,http://www.icheckmovies.com/movies/working+girls/,300,20,2,3,106,,http://www.imdb.com/title/tt0092238/,no,no,no,no,no
1325,0,"La piscine",1969,http://www.icheckmovies.com/movies/la+piscine/,1115,83,15,2,172,"The Swimming Pool",http://www.imdb.com/title/tt0064816/,no,no,no,no,no
1326,0,"Wandafuru raifu",1998,http://www.icheckmovies.com/movies/wandafuru+raifu/,1749,242,12,9,351,"After Life",http://www.imdb.com/title/tt0165078/,no,no,no,yes,no
1327,0,"Original Cast Album: Company",1970,http://www.icheckmovies.com/movies/original+cast+album+company/,413,25,3,2,84,,http://www.imdb.com/title/tt0293475/,no,no,no,no,no
1328,0,"Beasts of No Nation",2015,http://www.icheckmovies.com/movies/beasts+of+no+nation/,3109,255,14,1,248,,http://www.imdb.com/title/tt1365050/,"2016-06-24 02:30:08",yes,no,no,no
1329,0,"Yau doh lung fu bong",2004,http://www.icheckmovies.com/movies/yau+doh+lung+fu+bong/,406,23,9,5,135,"Throw Down",http://www.imdb.com/title/tt0415380/,no,no,no,no,no
1330,0,"La permission",1967,http://www.icheckmovies.com/movies/la+permission/,127,5,0,1,41,"The Story of a Three-Day Pass",http://www.imdb.com/title/tt0063646/,no,no,no,no,no
1331,0,"Watermelon Man",1970,http://www.icheckmovies.com/movies/watermelon+man/,333,18,2,1,58,,http://www.imdb.com/title/tt0066550/,no,no,no,no,no
1332,0,"Sweet Sweetback's Baadasssss Song",1971,http://www.icheckmovies.com/movies/sweet+sweetbacks+baadasssss+song/,1902,51,81,12,262,,http://www.imdb.com/title/tt0067810/,no,no,no,yes,no
1333,0,"Don't Play Us Cheap",1972,http://www.icheckmovies.com/movies/dont+play+us+cheap/,88,0,0,1,16,,http://www.imdb.com/title/tt0069996/,no,no,no,no,no
1334,0,"Love & Basketball",2000,http://www.icheckmovies.com/movies/love+and+basketball/,1312,56,17,7,140,,http://www.imdb.com/title/tt0199725/,no,no,no,no,no
1335,0,"La caduta degli dei",1969,http://www.icheckmovies.com/movies/la+caduta+degli+dei/,1127,86,18,7,294,"The Damned",http://www.imdb.com/title/tt0064118/,"2025-01-21 01:23:19",no,no,no,no
1336,0,"High Sierra",1940,http://www.icheckmovies.com/movies/high+sierra/,3128,154,19,8,332,,http://www.imdb.com/title/tt0033717/,no,no,no,no,no
1337,0,"The Incredible Shrinking Man",1957,http://www.icheckmovies.com/movies/the+incredible+shrinking+man/,4189,301,27,10,506,,http://www.imdb.com/title/tt0050539/,"2012-03-14 22:10:06",yes,no,no,no
1338,0,"Uncut Gems",2019,http://www.icheckmovies.com/movies/uncut+gems/,6031,568,77,5,352,,http://www.imdb.com/title/tt5727208/,"2020-02-02 20:48:44",yes,no,no,no
1339,0,Devi,1960,http://www.icheckmovies.com/movies/devi/,619,65,3,6,233,"The Goddess",http://www.imdb.com/title/tt0053765/,no,no,no,no,no
1340,0,"Wong Fei Hung",1991,http://www.icheckmovies.com/movies/wong+fei+hung/,2663,108,23,10,246,"Once Upon a Time in China",http://www.imdb.com/title/tt0103285/,"2017-05-13 18:11:42",no,no,no,no
1341,0,"Wong Fei Hung II: Nam yee tung chi keung",1992,http://www.icheckmovies.com/movies/wong+fei+hung+ii+nam+yee+tung+chi+keung/,1157,41,2,4,116,"Once Upon a Time in China II",http://www.imdb.com/title/tt0105839/,no,no,no,no,no
1342,0,"Wong Fei Hung III: Si wong jaang ba",1992,http://www.icheckmovies.com/movies/wong+fei+hung+iii+si+wong+jaang+ba/,569,12,4,2,51,"Once Upon a Time in China III",http://www.imdb.com/title/tt0108592/,no,no,no,no,no
1343,0,"Wong Fei Hung IV: Wong je ji fung",1993,http://www.icheckmovies.com/movies/wong+fei+hung+iv+wong+je+ji+fung/,165,2,3,1,19,"Once Upon a Time in China IV",http://www.imdb.com/title/tt0107162/,no,no,no,no,no
1344,0,"Wong Fei Hung chi neung: Lung shing chim pa",1994,http://www.icheckmovies.com/movies/wong+fei+hung+chi+neung+lung+shing+chim+pa/,233,2,2,2,26,"Once Upon a Time in China V",http://www.imdb.com/title/tt0110073/,no,no,no,no,no
1345,0,"Citizen Kane",1941,http://www.icheckmovies.com/movies/citizen+kane/,51135,4826,435,40,1885,,http://www.imdb.com/title/tt0033467/,"2012-03-14 22:10:27",yes,no,no,no
1346,0,"Menace II Society",1993,http://www.icheckmovies.com/movies/menace+ii+society/,2828,153,23,2,176,,http://www.imdb.com/title/tt0107554/,no,no,no,no,no
1347,0,"One Night in Miami...",2020,http://www.icheckmovies.com/movies/one+night+in+miami.../,1206,46,12,1,136,,http://www.imdb.com/title/tt10612922/,"2023-08-12 00:53:33",no,no,no,no
1348,0,"The Learning Tree",1969,http://www.icheckmovies.com/movies/the+learning+tree/,269,8,1,4,75,,http://www.imdb.com/title/tt0064579/,no,no,no,no,no
1349,0,Festen,1998,http://www.icheckmovies.com/movies/festen/,12553,1593,76,19,785,"The Celebration",http://www.imdb.com/title/tt0154420/,"2012-03-14 22:10:04",yes,no,no,no
1350,0,Time,2020,http://www.icheckmovies.com/movies/time-2020/,566,24,12,5,134,,http://www.imdb.com/title/tt11416746/,no,no,no,no,no
1351,0,"The Piano",1993,http://www.icheckmovies.com/movies/the+piano/,13534,833,141,16,745,,http://www.imdb.com/title/tt0107822/,"2012-03-14 22:10:19",yes,no,no,no
1352,0,"Dick Johnson Is Dead",2020,http://www.icheckmovies.com/movies/dick+johnson+is+dead/,657,31,2,2,129,,http://www.imdb.com/title/tt11394180/,no,no,no,no,no
1353,0,"Miller's Crossing",1990,http://www.icheckmovies.com/movies/millers+crossing/,13305,1318,64,11,627,,http://www.imdb.com/title/tt0100150/,"2012-07-30 02:08:51",yes,no,no,no
1354,0,"Tau ban no hoi",1982,http://www.icheckmovies.com/movies/tau+ban+no+hoi/,422,24,5,7,218,"Boat People",http://www.imdb.com/title/tt0084807/,no,no,no,no,no
1355,0,"Love Affair",1939,http://www.icheckmovies.com/movies/love+affair/,1224,63,6,7,224,,http://www.imdb.com/title/tt0031593/,no,no,no,no,no
1356,0,Örökbefogadás,1975,http://www.icheckmovies.com/movies/orokbefogadas/,350,17,2,5,153,Adoption,http://www.imdb.com/title/tt0073948/,no,no,no,no,no
1357,0,"The Flight of the Phoenix",1965,http://www.icheckmovies.com/movies/the+flight+of+the+phoenix/,1145,73,4,2,145,,http://www.imdb.com/title/tt0059183/,no,no,no,no,no
1358,0,"Love Jones",1997,http://www.icheckmovies.com/movies/love+jones/,178,8,6,1,33,,http://www.imdb.com/title/tt0119572/,no,no,no,no,no
1359,0,"The Last Waltz",1978,http://www.icheckmovies.com/movies/the+last+waltz/,3782,280,12,10,279,,http://www.imdb.com/title/tt0077838/,no,no,no,yes,no
1360,0,"Miracolo a Milano",1951,http://www.icheckmovies.com/movies/miracolo+a+milano/,1485,136,11,8,323,"Miracle in Milan",http://www.imdb.com/title/tt0043809/,"2012-03-14 22:10:22",no,no,no,no
1361,0,"The Girl Can't Help It",1956,http://www.icheckmovies.com/movies/the+girl+cant+help+it/,990,42,7,7,172,,http://www.imdb.com/title/tt0049263/,no,no,no,no,no
1362,0,Eyimofe,2020,http://www.icheckmovies.com/movies/eyimofe/,110,2,1,1,41,"This Is My Desire",http://www.imdb.com/title/tt10365870/,no,no,no,no,no
1363,0,"'Round Midnight",1986,http://www.icheckmovies.com/movies/round+midnight/,682,43,5,3,135,,http://www.imdb.com/title/tt0090557/,no,no,no,yes,no
1364,0,"Mr. Klein",1976,http://www.icheckmovies.com/movies/mr.+klein/,997,94,4,6,249,,http://www.imdb.com/title/tt0074916/,no,no,no,yes,no
1365,0,"Chan Is Missing",1982,http://www.icheckmovies.com/movies/chan+is+missing/,462,19,8,4,81,,http://www.imdb.com/title/tt0083728/,no,no,no,no,no
1366,0,Osôshiki,1984,http://www.icheckmovies.com/movies/ososhiki/,381,17,6,4,121,"The Funeral",http://www.imdb.com/title/tt0089746/,no,no,no,no,no
1367,0,"Double Indemnity",1944,http://www.icheckmovies.com/movies/double+indemnity/,21003,2547,67,37,1306,,http://www.imdb.com/title/tt0036775/,"2012-03-14 22:10:06",yes,no,no,no
1368,0,"Mississippi Masala",1991,http://www.icheckmovies.com/movies/mississippi+masala/,410,17,7,2,78,,http://www.imdb.com/title/tt0102456/,no,no,no,no,no
